SchoolName,SizeSetting,Control,F20Enrollment
Columbia-Greene Community College,"Two-year, small",Public,"1,445"
Vaughn College of Aeronautics and Technology,"Four-year, small, primarily nonresidential",Private not-for-profit,"1,442"
Western Texas College,"Two-year, small",Public,"1,442"
Dickinson State University,"Four-year, small, primarily nonresidential",Public,"1,441"
Haywood Community College,"Two-year, small",Public,"1,440"
Miles College,"Four-year, small, highly residential",Private not-for-profit,"1,440"
National American University-Rapid City,"Four-year, very small, primarily nonresidential",Private for-profit,"1,440"
Northwest College,"Two-year, small",Public,"1,438"
Swarthmore College,"Four-year, small, highly residential",Private not-for-profit,"1,437"
Alpena Community College,"Four-year, very small, primarily nonresidential",Public,"1,436"
Alma College,"Four-year, small, highly residential",Private not-for-profit,"1,435"
American Career College-Ontario,"Two-year, small",Private for-profit,"1,435"
University of New Mexico-Valencia County,"Two-year, small",Public,"1,435"
Cedar Crest College,"Four-year, small, primarily residential",Private not-for-profit,"1,433"
Berea College,"Four-year, small, highly residential",Private not-for-profit,"1,432"
Eastern Wyoming College,"Two-year, small",Public,"1,430"
Lawrence University,"Four-year, small, highly residential",Private not-for-profit,"1,430"
AmeriTech College-Draper,"Four-year, small, primarily nonresidential",Private for-profit,"1,429"
Guilford College,"Four-year, small, highly residential",Private not-for-profit,"1,429"
Unity College,"Four-year, small, primarily nonresidential",Private not-for-profit,"1,429"
Ohio Wesleyan University,"Four-year, small, highly residential",Private not-for-profit,"1,426"
Florida Polytechnic University,"Four-year, small, highly residential",Public,"1,422"
Fisher College,"Four-year, very small, primarily residential",Private not-for-profit,"1,419"
Young Harris College,"Four-year, very small, highly residential",Private not-for-profit,"1,417"
Ohio Dominican University,"Four-year, small, highly residential",Private not-for-profit,"1,415"
Avila University,"Four-year, small, primarily residential",Private not-for-profit,"1,414"
Montcalm Community College,"Two-year, small",Public,"1,414"
Southwestern College,"Four-year, very small, primarily residential",Private not-for-profit,"1,413"
Bryan College-Dayton,"Four-year, very small, highly residential",Private not-for-profit,"1,412"
Shorter University,"Four-year, small, highly residential",Private not-for-profit,"1,410"
University of Pittsburgh-Greensburg,"Four-year, small, primarily residential",Public,"1,408"
Anderson University,"Four-year, small, highly residential",Private not-for-profit,"1,406"
New Mexico Junior College,"Two-year, small",Public,"1,406"
Loras College,"Four-year, small, highly residential",Private not-for-profit,"1,404"
Trinidad State College,"Two-year, small",Public,"1,404"
Harris-Stowe State University,"Four-year, small, primarily residential",Public,"1,400"
American Musical and Dramatic Academy,"Four-year, small, highly residential",Private not-for-profit,"1,399"
Chattahoochee Valley Community College,"Two-year, small",Public,"1,399"
Reinhardt University,"Four-year, small, highly residential",Private not-for-profit,"1,399"
Johnson & Wales University-Charlotte,"Four-year, small, highly residential",Private not-for-profit,"1,396"
Coe College,"Four-year, small, highly residential",Private not-for-profit,"1,394"
Eastern Mennonite University,"Four-year, small, highly residential",Private not-for-profit,"1,394"
Linfield University-McMinnville Campus,"Four-year, small, highly residential",Private not-for-profit,"1,392"
Huntington University,"Four-year, small, highly residential",Private not-for-profit,"1,391"
University of South Carolina-Sumter,"Two-year, small",Public,"1,387"
Cossatot Community College of the University of Arkansas,"Two-year, small",Public,"1,386"
Keystone College,"Four-year, small, primarily residential",Private not-for-profit,"1,386"
Sauk Valley Community College,"Two-year, small",Public,"1,386"
Reed College,"Four-year, small, highly residential",Private not-for-profit,"1,385"
Albertus Magnus College,"Four-year, small, primarily residential",Private not-for-profit,"1,384"
Beaufort County Community College,"Two-year, small",Public,"1,382"
Midway University,"Four-year, small, primarily residential",Private not-for-profit,"1,381"
Converse University,"Four-year, small, highly residential",Private not-for-profit,"1,377"
Morgan Community College,"Two-year, small",Public,"1,376"
Trocaire College,"Four-year, very small, primarily nonresidential",Private not-for-profit,"1,376"
Oakwood University,"Four-year, small, highly residential",Private not-for-profit,"1,374"
Catawba College,"Four-year, small, highly residential",Private not-for-profit,"1,371"
Dine College,"Four-year, very small, primarily nonresidential",Public,"1,369"
Coffeyville Community College,"Two-year, small",Public,"1,368"
Concorde Career College-Memphis,"Two-year, small",Private for-profit,"1,367"
Franciscan Missionaries of Our Lady University,"Four-year, very small, primarily nonresidential",Private not-for-profit,"1,366"
Bethel University,"Four-year, small, highly residential",Private not-for-profit,"1,362"
Whitman College,"Four-year, small, highly residential",Private not-for-profit,"1,360"
Arkansas Northeastern College,"Two-year, small",Public,"1,358"
Juniata College,"Four-year, small, highly residential",Private not-for-profit,"1,356"
College of Our Lady of the Elms,"Four-year, small, primarily residential",Private not-for-profit,"1,355"
Western Oklahoma State College,"Two-year, small",Public,"1,353"
Nashua Community College,"Two-year, small",Public,"1,352"
Black River Technical College,"Two-year, small",Public,"1,350"
Bryan University,"Four-year, small, primarily nonresidential",Private for-profit,"1,350"
Navajo Technical University,"Four-year, very small, primarily residential",Public,"1,350"
Universal Technical Institute of Northern California Inc,"Two-year, small",Private for-profit,"1,350"
William Penn University,"Four-year, small, highly residential",Private not-for-profit,"1,350"
EDP University of Puerto Rico Inc-San Juan,"Four-year, very small, primarily nonresidential",Private not-for-profit,"1,349"
Geneva College,"Four-year, small, highly residential",Private not-for-profit,"1,349"
Carteret Community College,"Two-year, small",Public,"1,347"
Virginia Wesleyan University,"Four-year, small, highly residential",Private not-for-profit,"1,347"
Southern Wesleyan University,"Four-year, very small, primarily residential",Private not-for-profit,"1,345"
Eastern Oklahoma State College,"Two-year, small",Public,"1,342"
University of Minnesota - Twin Cities,"Four-year, small, highly residential",Public,"1,339"
Milligan University,"Four-year, small, highly residential",Private not-for-profit,"1,338"
Nightingale College,"Four-year, small, primarily nonresidential",Private for-profit,"1,337"
Oklahoma Panhandle State University,"Four-year, small, highly residential",Public,"1,337"
Clarendon College,"Two-year, small",Public,"1,334"
The University of Montana-Western,"Four-year, small, primarily residential",Public,"1,334"
Centre College,"Four-year, small, highly residential",Private not-for-profit,"1,333"
Rocky Vista University,Exclusively graduate/professional,Private for-profit,"1,332"
Henderson Community College,"Two-year, small",Public,"1,331"
Chamberlain University-Georgia,"Four-year, very small, primarily nonresidential",Private for-profit,"1,330"
Kirtland Community College,"Two-year, small",Public,"1,330"
Piedmont Community College,"Two-year, small",Public,"1,329"
Colby Community College,"Two-year, small",Public,"1,327"
Helena College University of Montana,"Two-year, small",Public,"1,324"
Western Dakota Technical College,"Two-year, small",Public,"1,324"
Western Technical College,"Four-year, small, primarily nonresidential",Private for-profit,"1,324"
Weill Medical College of Cornell University,Exclusively graduate/professional,Private not-for-profit,"1,322"
Touro University California,Exclusively graduate/professional,Private not-for-profit,"1,321"
Universal Technical Institute of California Inc,"Two-year, small",Private for-profit,"1,318"
George C Wallace State Community College-Selma,"Two-year, small",Public,"1,316"
Presbyterian College,"Four-year, small, highly residential",Private not-for-profit,"1,309"
Haverford College,"Four-year, small, highly residential",Private not-for-profit,"1,307"
Johnson C Smith University,"Four-year, small, highly residential",Private not-for-profit,"1,306"
University of Pittsburgh-Bradford,"Four-year, small, highly residential",Public,"1,305"
Asnuntuck Community College,"Two-year, small",Public,"1,304"
Inter American University of Puerto Rico-Barranquitas,"Four-year, small, primarily nonresidential",Private not-for-profit,"1,303"
Thomas University,"Four-year, very small, primarily nonresidential",Private not-for-profit,"1,303"
Austin College,"Four-year, small, highly residential",Private not-for-profit,"1,302"
Icahn School of Medicine at Mount Sinai,Exclusively graduate/professional,Private not-for-profit,"1,298"
Northeastern Junior College,"Two-year, small",Public,"1,293"
Blue Mountain Community College,"Two-year, small",Public,"1,292"
La Roche University,"Four-year, small, highly residential",Private not-for-profit,"1,292"
Mountwest Community and Technical College,"Two-year, small",Public,"1,292"
University of Massachusetts Chan Medical School,Exclusively graduate/professional,Public,"1,292"
Eastern Virginia Medical School,Exclusively graduate/professional,Public,"1,289"
The Chicago School of Professional Psychology at Chicago,Exclusively graduate/professional,Private not-for-profit,"1,285"
Shaw University,"Four-year, small, highly residential",Private not-for-profit,"1,283"
Dunwoody College of Technology,"Four-year, small, primarily nonresidential",Private not-for-profit,"1,281"
Salus University,Exclusively graduate/professional,Private not-for-profit,"1,280"
Institute of Technology,"Two-year, small",Private for-profit,"1,279"
College of the Siskiyous,"Two-year, small",Public,"1,276"
Highland Community College,"Two-year, small",Public,"1,276"
Kansas City University of Medicine and Biosciences,Exclusively graduate/professional,Private not-for-profit,"1,275"
American Career College-Anaheim,"Two-year, small",Private for-profit,"1,274"
Quincy University,"Four-year, small, highly residential",Private not-for-profit,"1,273"
Rockford University,"Four-year, small, primarily residential",Private not-for-profit,"1,272"
Saint Elizabeth University,"Four-year, very small, primarily residential",Private not-for-profit,"1,272"
Arkansas State University-Mountain Home,"Two-year, small",Public,"1,271"
New York Film Academy,"Four-year, small, primarily nonresidential",Private for-profit,"1,271"
Southeastern Community College,"Two-year, small",Public,"1,271"
MGH Institute of Health Professions,"Four-year, small, primarily nonresidential",Private not-for-profit,"1,269"
Simpson College,"Four-year, small, highly residential",Private not-for-profit,"1,267"
Claremont McKenna College,"Four-year, small, highly residential",Private not-for-profit,"1,264"
Southeastern Illinois College,"Two-year, small",Public,"1,263"
Frontier Community College,"Two-year, small",Public,"1,262"
Newberry College,"Four-year, small, highly residential",Private not-for-profit,"1,256"
Northern Marianas College,"Four-year, small, primarily nonresidential",Public,"1,255"
Marietta College,"Four-year, small, highly residential",Private not-for-profit,"1,254"
Lourdes University,"Four-year, small, highly residential",Private not-for-profit,"1,253"
South Arkansas Community College,"Two-year, small",Public,"1,253"
West Virginia Northern Community College,"Two-year, small",Public,"1,253"
Oglala Lakota College,"Four-year, very small, primarily nonresidential",Public,"1,251"
Schreiner University,"Four-year, small, highly residential",Private not-for-profit,"1,244"
Arkansas State University Three Rivers,"Two-year, small",Public,"1,243"
Bluefield State College,"Four-year, small, primarily nonresidential",Public,"1,243"
Mitchell Hamline School of Law,Exclusively graduate/professional,Private not-for-profit,"1,242"
Oakland City University,"Four-year, very small, highly residential",Private not-for-profit,"1,241"
Spoon River College,"Two-year, small",Public,"1,239"
Pacific Oaks College,"Four-year, very small, primarily nonresidential",Private not-for-profit,"1,238"
Paul D Camp Community College,"Two-year, small",Public,"1,237"
Nicolet Area Technical College,"Two-year, small",Public,"1,236"
Northern New Mexico College,"Four-year, very small, primarily nonresidential",Public,"1,234"
National Defense University,Exclusively graduate/professional,Public,"1,231"
Rochester University,"Four-year, very small, primarily residential",Private not-for-profit,"1,231"
Emory & Henry College,"Four-year, small, highly residential",Private not-for-profit,"1,230"
Heidelberg University,"Four-year, small, highly residential",Private not-for-profit,"1,230"
Cairn University-Langhorne,"Four-year, very small, highly residential",Private not-for-profit,"1,229"
University of Saint Mary,"Four-year, small, primarily residential",Private not-for-profit,"1,229"
Northwestern Connecticut Community College,"Two-year, small",Public,"1,228"
Westminster College,"Four-year, small, highly residential",Private not-for-profit,"1,228"
Thaddeus Stevens College of Technology,"Two-year, small",Public,"1,227"
Westmont College,"Four-year, small, highly residential",Private not-for-profit,"1,226"
Southern California University of Health Sciences,"Four-year, very small, primarily nonresidential",Private not-for-profit,"1,225"
University of Arkansas Community College-Batesville,"Two-year, small",Public,"1,224"
Mayo Clinic College of Medicine and Science,Exclusively graduate/professional,Private not-for-profit,"1,223"
Flint Hills Technical College,"Two-year, small",Public,"1,222"
Oklahoma State University Center for Health Sciences,Exclusively graduate/professional,Public,"1,219"
Columbia College,"Four-year, very small, primarily residential",Private not-for-profit,"1,218"
Otero College,"Two-year, small",Public,"1,216"
Dillard University,"Four-year, small, highly residential",Private not-for-profit,"1,215"
Northwest University-College of Adult and Professional Studies,"Four-year, very small, primarily nonresidential",Private not-for-profit,"1,215"
DeVry College of New York,"Four-year, very small, primarily nonresidential",Private for-profit,"1,213"
Nebraska Methodist College of Nursing & Allied Health,"Four-year, very small, primarily nonresidential",Private not-for-profit,"1,212"
University of Arkansas Hope-Texarkana,"Two-year, small",Public,"1,211"
Hartwick College,"Four-year, small, highly residential",Private not-for-profit,"1,209"
Arkansas State University Mid-South,"Two-year, small",Public,"1,203"
New Mexico State University-Carlsbad,"Two-year, small",Public,"1,203"
James Sprunt Community College,"Two-year, small",Public,"1,202"
Massachusetts College of Liberal Arts,"Four-year, small, highly residential",Public,"1,202"
Hope International University,"Four-year, small, primarily residential",Private not-for-profit,"1,201"
Mount Mary University,"Four-year, small, primarily residential",Private not-for-profit,"1,200"
Roxbury Community College,"Two-year, small",Public,"1,200"
University of Western States,"Four-year, very small, primarily nonresidential",Private not-for-profit,"1,195"
West Coast University-Miami,"Four-year, very small, primarily nonresidential",Private for-profit,"1,194"
Potomac State College of West Virginia University,"Four-year, very small, highly residential",Public,"1,193"
Rocky Mountain University of Health Professions,Exclusively graduate/professional,Private for-profit,"1,193"
Spring Hill College,"Four-year, small, highly residential",Private not-for-profit,"1,191"
Laboure College of Healthcare ,"Four-year, very small, primarily nonresidential",Private not-for-profit,"1,188"
Long Island Business Institute,"Two-year, small",Private for-profit,"1,186"
Pfeiffer University,"Four-year, very small, highly residential",Private not-for-profit,"1,185"
Goldey-Beacom College,"Four-year, very small, primarily residential",Private not-for-profit,"1,184"
Northwest University,"Four-year, small, highly residential",Private not-for-profit,"1,184"
Universal Technical Institute-Southern California,"Two-year, small",Private for-profit,"1,182"
North Florida College,"Four-year, very small, primarily nonresidential",Public,"1,181"
Dean College,"Four-year, small, highly residential",Private not-for-profit,"1,180"
Union College,"Four-year, small, primarily residential",Private not-for-profit,"1,179"
Barton College,"Four-year, small, highly residential",Private not-for-profit,"1,177"
Shawnee Community College,"Two-year, small",Public,"1,176"
Judson University,"Four-year, small, highly residential",Private not-for-profit,"1,173"
Kent State University at East Liverpool,"Four-year, very small, primarily nonresidential",Public,"1,173"
Clarkson College,"Four-year, very small, primarily nonresidential",Private not-for-profit,"1,169"
Mayville State University,"Four-year, very small, primarily residential",Public,"1,168"
Mount Marty University,"Four-year, very small, highly residential",Private not-for-profit,"1,167"
Washington & Jefferson College,"Four-year, small, highly residential",Private not-for-profit,"1,167"
California Institute of the Arts,"Four-year, small, highly residential",Private not-for-profit,"1,166"
Wisconsin Lutheran College,"Four-year, small, highly residential",Private not-for-profit,"1,166"
Concordia University-Ann Arbor,"Four-year, very small, highly residential",Private not-for-profit,"1,165"
Wilmington College,"Four-year, small, highly residential",Private not-for-profit,"1,165"
Pratt Community College,"Two-year, small",Public,"1,164"
Mildred Elley-New York Campus,"Two-year, small",Private for-profit,"1,163"
Palo Alto University,"Four-year, very small, primarily nonresidential",Private not-for-profit,"1,163"
Brooklyn Law School,Exclusively graduate/professional,Private not-for-profit,"1,162"
College of the Marshall Islands,"Four-year, very small, primarily nonresidential",Public,"1,162"
Mitchell Technical College,"Two-year, small",Public,"1,162"
Quinebaug Valley Community College,"Two-year, small",Public,"1,161"
Corban University,"Four-year, very small, highly residential",Private not-for-profit,"1,160"
Ohio State University-Marion Campus,"Four-year, very small, primarily nonresidential",Public,"1,158"
Wichita Technical Institute,"Two-year, small",Private for-profit,"1,157"
Talladega College,"Four-year, small, highly residential",Private not-for-profit,"1,156"
Florida Career College-Houston,"Two-year, small",Private for-profit,"1,155"
Illinois College,"Four-year, small, highly residential",Private not-for-profit,"1,154"
Knox College,"Four-year, small, highly residential",Private not-for-profit,"1,154"
Louisiana Christian University,"Four-year, very small, highly residential",Private not-for-profit,"1,153"
Harcum College,"Two-year, small",Private not-for-profit,"1,150"
University of Jamestown,"Four-year, small, highly residential",Private not-for-profit,"1,147"
Universidad Central de Bayamon,"Four-year, very small, primarily nonresidential",Private not-for-profit,"1,146"
Central Methodist University-College of Liberal Arts and Sciences,"Four-year, small, highly residential",Private not-for-profit,"1,141"
Southern Virginia University,"Four-year, small, highly residential",Private not-for-profit,"1,140"
University of Holy Cross,"Four-year, very small, primarily nonresidential",Private not-for-profit,"1,137"
Northwestern Health Sciences University,"Four-year, very small, primarily nonresidential",Private not-for-profit,"1,132"
Woodbury University,"Four-year, small, primarily nonresidential",Private not-for-profit,"1,132"
Air Force Institute of Technology-Graduate School of Engineering & Management,Exclusively graduate/professional,Public,"1,129"
Birmingham-Southern College,"Four-year, small, highly residential",Private not-for-profit,"1,129"
Southern Technical College,"Four-year, small, primarily nonresidential",Private for-profit,"1,125"
Central College,"Four-year, small, highly residential",Private not-for-profit,"1,120"
DigiPen Institute of Technology,"Four-year, small, primarily nonresidential",Private for-profit,"1,120"
Albany College of Pharmacy and Health Sciences,"Four-year, small, highly residential",Private not-for-profit,"1,118"
Tennessee Wesleyan University,"Four-year, small, primarily residential",Private not-for-profit,"1,116"
The College of Idaho,"Four-year, small, highly residential",Private not-for-profit,"1,114"
Southeast Arkansas College,"Two-year, small",Public,"1,113"
Fontbonne University,"Four-year, very small, primarily residential",Private not-for-profit,"1,112"
Hiram College,"Four-year, very small, highly residential",Private not-for-profit,"1,110"
Saint Augustine's University,"Four-year, very small, highly residential",Private not-for-profit,"1,110"
Ave Maria University,"Four-year, small, highly residential",Private not-for-profit,"1,108"
Carroll College,"Four-year, small, highly residential",Private not-for-profit,"1,108"
Amberton University,"Four-year, very small, primarily nonresidential",Private not-for-profit,"1,103"
Chowan University,"Four-year, small, highly residential",Private not-for-profit,"1,100"
Ursuline College,"Four-year, very small, primarily residential",Private not-for-profit,"1,100"
Saint Mary-of-the-Woods College,"Four-year, very small, primarily residential",Private not-for-profit,"1,099"
Lane College,"Four-year, small, highly residential",Private not-for-profit,"1,095"
McMurry University,"Four-year, very small, highly residential",Private not-for-profit,"1,094"
Phillips Community College of the University of Arkansas,"Two-year, small",Public,"1,093"
Washington College,"Four-year, small, highly residential",Private not-for-profit,"1,089"
Coker University,"Four-year, small, highly residential",Private not-for-profit,"1,087"
Trinity Christian College,"Four-year, very small, highly residential",Private not-for-profit,"1,086"
Chamberlain University-Florida,"Four-year, very small, primarily nonresidential",Private for-profit,"1,084"
American Samoa Community College,"Four-year, very small, primarily nonresidential",Public,"1,081"
Agnes Scott College,"Four-year, small, highly residential",Private not-for-profit,"1,080"
Hendrix College,"Four-year, small, highly residential",Private not-for-profit,"1,077"
Briar Cliff University,"Four-year, very small, highly residential",Private not-for-profit,"1,076"
New York Law School,Exclusively graduate/professional,Private not-for-profit,"1,076"
Mountain Gateway Community College,"Two-year, small",Public,"1,075"
Otis College of Art and Design,"Four-year, small, primarily residential",Private not-for-profit,"1,073"
Maryville College,"Four-year, very small, highly residential",Private not-for-profit,"1,072"
Fielding Graduate University,Exclusively graduate/professional,Private not-for-profit,"1,071"
Great Falls College Montana State University,"Two-year, small",Public,"1,071"
University of South Carolina-Union,"Two-year, small",Public,"1,071"
University of North Carolina School of the Arts,"Four-year, small, highly residential",Public,"1,070"
Galen College of Nursing-Cincinnati,"Two-year, small",Private for-profit,"1,067"
West Virginia Wesleyan College,"Four-year, small, highly residential",Private not-for-profit,"1,066"
Lycoming College,"Four-year, small, highly residential",Private not-for-profit,"1,065"
North Central University,"Four-year, very small, highly residential",Private not-for-profit,"1,062"
Clinton Community College,"Two-year, small",Public,"1,060"
Dakota College at Bottineau,"Two-year, small",Public,"1,060"
Howard Payne University,"Four-year, very small, highly residential",Private not-for-profit,"1,060"
Huston-Tillotson University,"Four-year, small, primarily residential",Private not-for-profit,"1,058"
Itasca Community College,"Two-year, small",Public,"1,058"
West Shore Community College,"Two-year, small",Public,"1,058"
Bladen Community College,"Two-year, small",Public,"1,057"
United States Coast Guard Academy,"Four-year, small, highly residential",Public,"1,056"
Universidad Adventista de las Antillas,"Four-year, very small, primarily residential",Private not-for-profit,"1,056"
Ohio University-Eastern Campus,"Two-year, small",Public,"1,054"
New River Community and Technical College,"Two-year, small",Public,"1,053"
Grace Christian University,"Four-year, very small, primarily nonresidential",Private not-for-profit,"1,052"
Ottawa University-Phoenix,"Four-year, very small, primarily nonresidential",Private not-for-profit,"1,051"
Spartanburg Methodist College,"Two-year, small",Private not-for-profit,"1,051"
Mars Hill University,"Four-year, very small, highly residential",Private not-for-profit,"1,049"
Albert Einstein College of Medicine,Exclusively graduate/professional,Private not-for-profit,"1,048"
Florida Career College-Lauderdale Lakes,"Two-year, small",Private for-profit,"1,048"
McDowell Technical Community College,"Two-year, small",Public,"1,048"
Peirce College,"Four-year, very small, primarily nonresidential",Private not-for-profit,"1,046"
University of New Mexico-Taos Campus,"Two-year, very small",Public,"1,046"
United States Merchant Marine Academy,"Four-year, small, highly residential",Public,"1,045"
Denver College of Nursing,"Four-year, small, primarily nonresidential",Private for-profit,"1,042"
Fortis College-Columbus,"Two-year, small",Private for-profit,"1,042"
Trine University-Regional/Non-Traditional Campuses,"Four-year, very small, primarily nonresidential",Private not-for-profit,"1,041"
Johnson University,"Four-year, very small, highly residential",Private not-for-profit,"1,039"
Ozarka College,"Two-year, small",Public,"1,033"
Hanover College,"Four-year, small, highly residential",Private not-for-profit,"1,028"
University of California-Hastings College of Law,Exclusively graduate/professional,Public,"1,026"
College of Saint Mary,"Four-year, very small, primarily residential",Private not-for-profit,"1,024"
Montana State University-Northern,"Four-year, very small, primarily residential",Public,"1,024"
Chamberlain University-New Jersey,"Four-year, very small, primarily nonresidential",Private for-profit,"1,023"
Olivet College,"Four-year, very small, highly residential",Private not-for-profit,"1,023"
CUNY Stella and Charles Guttman Community College,"Two-year, small",Public,"1,021"
Drury University-College of Continuing Professional Studies,"Four-year, very small, primarily nonresidential",Private not-for-profit,"1,020"
High Desert Medical College,"Two-year, small",Private for-profit,"1,016"
The Christ College of Nursing and Health Sciences,"Four-year, very small, primarily nonresidential",Private not-for-profit,"1,015"
Holy Names University,"Four-year, very small, highly residential",Private not-for-profit,"1,014"
Rocky Mountain College,"Four-year, very small, highly residential",Private not-for-profit,"1,014"
DeVry University-Georgia,"Four-year, very small, primarily nonresidential",Private for-profit,"1,013"
Ohio State University-Mansfield Campus,"Four-year, very small, primarily nonresidential",Public,"1,012"
Columbus College of Art and Design,"Four-year, very small, primarily residential",Private not-for-profit,"1,009"
Salem University,"Four-year, very small, primarily residential",Private for-profit,"1,008"
Culver-Stockton College,"Four-year, very small, highly residential",Private not-for-profit,"1,006"
University of Providence,"Four-year, very small, primarily residential",Private not-for-profit,"1,005"
Cornell College,"Four-year, very small, highly residential",Private not-for-profit,"1,002"
Heritage University,"Four-year, very small, primarily nonresidential",Private not-for-profit,999
Lincoln College of Technology-Indianapolis,"Two-year, small",Private for-profit,999
South Texas College of Law Houston,Exclusively graduate/professional,Private not-for-profit,999
Ohio State University-Lima Campus,"Four-year, very small, primarily nonresidential",Public,998
University of Health Sciences and Pharmacy in St. Louis,"Four-year, very small, highly residential",Private not-for-profit,998
Pontifical Catholic University of Puerto Rico-Mayaguez,"Four-year, very small, primarily nonresidential",Private not-for-profit,996
Franklin College,"Four-year, very small, highly residential",Private not-for-profit,994
Greenville University,"Four-year, very small, highly residential",Private not-for-profit,994
Lincoln College,"Four-year, very small, primarily residential",Private not-for-profit,994
Colorado Northwestern Community College,"Two-year, small",Public,993
Tri-County Community College,"Two-year, small",Public,991
Halifax Community College,"Two-year, very small",Public,988
Caribbean University-Bayamon,"Four-year, very small, primarily nonresidential",Private not-for-profit,987
Hallmark University,"Four-year, very small, primarily nonresidential",Private not-for-profit,987
Southern Careers Institute-Austin,"Two-year, small",Private for-profit,987
Brescia University,"Four-year, very small, primarily residential",Private not-for-profit,986
Carrington College-Phoenix North,"Two-year, small",Private for-profit,986
Northeast Ohio Medical University,Exclusively graduate/professional,Public,985
Hastings College,"Four-year, very small, highly residential",Private not-for-profit,982
Louisiana State University Health Sciences Center-Shreveport,"Four-year, very small, primarily nonresidential",Public,982
Beloit College,"Four-year, very small, highly residential",Private not-for-profit,978
Warner University,"Four-year, very small, highly residential",Private not-for-profit,978
Cox College,"Four-year, very small, primarily nonresidential",Private not-for-profit,975
CBD College,"Two-year, small",Private not-for-profit,974
Ferrum College,"Four-year, very small, highly residential",Private not-for-profit,972
Western Michigan University-Thomas M. Cooley Law School,Exclusively graduate/professional,Private not-for-profit,972
Prescott College,"Four-year, very small, primarily residential",Private not-for-profit,970
Martin Luther College,"Four-year, very small, highly residential",Private not-for-profit,968
Washington Adventist University,"Four-year, very small, highly residential",Private not-for-profit,968
Pacific College of Health and Science,"Four-year, small, primarily nonresidential",Private for-profit,967
Bluefield University,"Four-year, very small, highly residential",Private not-for-profit,965
Central Penn College,"Four-year, very small, primarily nonresidential",Private for-profit,963
Transylvania University,"Four-year, very small, highly residential",Private not-for-profit,963
EDP University of Puerto Rico Inc-San Sebastian,"Four-year, very small, primarily nonresidential",Private not-for-profit,962
Mills College,"Four-year, very small, highly residential",Private not-for-profit,961
The Juilliard School,"Four-year, very small, highly residential",Private not-for-profit,961
Pacific Union College,"Four-year, very small, highly residential",Private not-for-profit,959
Williston State College,"Two-year, small",Public,959
Scripps College,"Four-year, very small, highly residential",Private not-for-profit,958
Blue Mountain College,"Four-year, very small, highly residential",Private not-for-profit,952
California State University Maritime Academy,"Four-year, very small, highly residential",Public,952
Carolina University,"Four-year, very small, primarily residential",Private not-for-profit,951
Glen Oaks Community College,"Two-year, small",Public,950
Montreat College,"Four-year, very small, highly residential",Private not-for-profit,950
Lake Erie College,"Four-year, very small, highly residential",Private not-for-profit,949
Emory University-Oxford College,"Two-year, small",Private not-for-profit,947
Greensboro College,"Four-year, very small, highly residential",Private not-for-profit,944
Lincoln College of Technology-Melrose Park,"Two-year, small",Private for-profit,944
Martin Community College,"Two-year, very small",Public,944
Meharry Medical College,Exclusively graduate/professional,Private not-for-profit,944
Erskine College,"Four-year, very small, highly residential",Private not-for-profit,943
Maine Maritime Academy,"Four-year, very small, highly residential",Public,941
New Mexico State University-Alamogordo,"Two-year, very small",Public,941
Manhattan School of Music,"Four-year, very small, highly residential",Private not-for-profit,939
Northwest Louisiana Technical Community College,"Two-year, small",Public,935
AI Miami International University of Art and Design,"Four-year, very small, primarily nonresidential",Private for-profit,934
East Arkansas Community College,"Two-year, small",Public,934
Oklahoma Wesleyan University,"Four-year, very small, primarily residential",Private not-for-profit,934
The College of Westchester,"Four-year, very small, primarily nonresidential",Private for-profit,934
Dakota Wesleyan University,"Four-year, very small, highly residential",Private not-for-profit,933
American National University,"Four-year, very small, primarily nonresidential",Private for-profit,931
Arizona College of Nursing-Tempe,"Four-year, very small, primarily nonresidential",Private for-profit,931
University of New Mexico-Los Alamos Campus,"Two-year, very small",Public,929
Florida Memorial University,"Four-year, very small, highly residential",Private not-for-profit,928
Mesabi Range College,"Two-year, small",Public,926
Arizona Christian University,"Four-year, very small, highly residential",Private not-for-profit,925
Milwaukee Institute of Art & Design,"Four-year, very small, primarily residential",Private not-for-profit,925
Antioch University-Los Angeles,"Four-year, very small, primarily nonresidential",Private not-for-profit,924
Pitzer College,"Four-year, very small, highly residential",Private not-for-profit,922
Huntingdon College,"Four-year, very small, highly residential",Private not-for-profit,920
Maranatha Baptist University,"Four-year, very small, highly residential",Private not-for-profit,916
Plaza College,"Four-year, very small, primarily nonresidential",Private for-profit,914
Hibbing Community College,"Two-year, small",Public,913
Covenant College,"Four-year, very small, highly residential",Private not-for-profit,911
Fisk University,"Four-year, very small, highly residential",Private not-for-profit,911
Colby-Sawyer College,"Four-year, very small, highly residential",Private not-for-profit,910
Olney Central College,"Two-year, small",Public,906
Bastyr University,"Four-year, very small, primarily residential",Private not-for-profit,904
New England Law-Boston,Exclusively graduate/professional,Private not-for-profit,904
University of the Southwest,"Four-year, very small, highly residential",Private not-for-profit,904
Mount Carmel College of Nursing,"Four-year, very small, primarily nonresidential",Private not-for-profit,903
Houghton College,"Four-year, very small, highly residential",Private not-for-profit,902
Saint Augustine College,"Four-year, very small, primarily nonresidential",Private not-for-profit,901
Goshen College,"Four-year, very small, highly residential",Private not-for-profit,899
Laurus College,"Four-year, very small, primarily nonresidential",Private for-profit,897
